source,target
Congo,French
Baghlan Province,Dari
Vevey,French
SRV,Vietnamese
Miss Universe,English
American,Anglicized<OR>EN<OR>anglicized<OR>English language<OR>English<OR>British English<OR>anglophone<OR>Anglophone
Huehuetenango Department,Awakatek<OR>Akatek<OR>Chuj<OR>Jakaltek
Föglö,Swedish
Oberland,German language
M'Hajer,Amazigh
Belize,English<OR>anglophone<OR>Anglophone
Aceh Special Region (Nanggroe Aceh Darussalam),Indonesian
Moldavian,Romanian
Bulgaria,medieval Greek<OR>Medieval Greek<OR>Standard Bulgarian<OR>Old Church Slavonic<OR>Bulgarian language<OR>Old Bulgarian<OR>Bulgarian Cyrillic<OR>Bulgarian-language<OR>standard Bulgarian<OR>Bulgarian<OR>Byzantine Greek
Provence,French language<OR>French
Genevois,French
Hartola (Finland),Finnish
Zairian,French
Roman Empire,Latin language<OR>Greek language<OR>Latin<OR>Greek<OR>Latin Language
Paimio,Finnish
Bolshevik Russia,Russian
Yukon Territory,anglicized
Virgin Islands,English
Nazis,German-language<OR>German language
Stalino,Ukrainian<OR>Russian
Robert Ben Madison,Talossan
Ukrainians,Ukrainian
Vichy France,French
Estland,Estonian
Australia,English language<OR>English<OR>Anglophone<OR>Anglo
Orbe,French
Bhutan,Dzongkha<OR>dzongkha<OR>Dzongkha language
Chhattishgarh,Chhattisgarhi
Muscovite Russia,Russian
Yuzovka,Russian-language
Mariy El,Meadow Mari<OR>Russian
Imperial China,Chinese
Liminka,Finnish
"Geta, Åland",Swedish
L'Abbaye,French
New Zealand,English<OR>New Zealand Sign Language
Western Basque Country,Spanish
Trougout,Amazigh
Ottoman Dynasty,Ottoman Turkish
Serbian,Serbian Cyrillic
Kiruna,Swedish<OR>Finnish
Guyanese,English language<OR>English
महाराष्ट्र,Marathi<OR>Marathi-language
Distrito Central,Spanish
Soviet Azerbaijan,Azerbaijani<OR>Russian
Leppävirta,Finnish
Kalmykiya,Russian<OR>Kalmyk
IAEA,Russian
Congo-Kinshasa,French
Soviet Era,Russian
Panamanian-Born,Spanish
Hong Kong,English language<OR>English<OR>Chinese<OR>written Chinese<OR>Anglophone
Liperi,Finnish
Rwandese,English<OR>French
Kossovo,Serbian
Autonomous Province,Serbian<OR>Serbian Cyrillic
Tuvalu,English<OR>Tuvalu<OR>Tuvaluan
Kosovan,Serbian
Communard,French
Salvadoran,Spanish<OR>Spanish-language<OR>Spanish language
Vasa,Swedish<OR>Swedish-speaking<OR>Finnish
Savoia,French
Ilmajoki,Finnish
Solna Municipality,Swedish
Hanko,Swedish<OR>Finnish
BRUNEI,Malay
Québec City,French
Antillen,Dutch
Armenian National Committee Of America,Armenian
Swiss Confederation,Italian<OR>French
Kalmykia,Kalmyk language<OR>Kalmyk Oirat<OR>Russian<OR>Kalmyk
Byelorussian Soviet Socialist Republic,Russian<OR>Belarusian
HK,English
Down Under,English
Irish,Irish language<OR>English<OR>Old Irish<OR>Gaelic<OR>early modern Irish
BIH,Croatian
Jinghpaw,Kachin State
TUR,Turkish
Slovene,European Union<OR>Slovenija<OR>Europe<OR>EU<OR>Slovenian<OR>Slovenia
British Colony,Chinese
Great White North,English
U.K.,English
Statia,Dutch
Czarist Russia,Russian
Pello,Finnish
Port Clarence,Spanish
Mexican Republic,Spanish
Härjedalen Municipality,Swedish
Bulgarian Patriarchate,Bulgarian
German-Speaking Community Of Belgium,German language
Singapore City,Malay<OR>Tamil
Chile,Spanish-language<OR>Hispano<OR>Spanish<OR>Chilean Spanish<OR>Spanish Language<OR>Spanish language<OR>Hispanic
Norway,Landsmål<OR>Kven<OR>Sami<OR>Nynorsk<OR>nynorsk<OR>North Sámi<OR>Norwegian Nynorsk<OR>Sami language<OR>Sami languages<OR>New Norwegian<OR>Sámi<OR>Kven language
Kesälahti,Finnish
Kristinestad,Swedish<OR>Finnish
Persia,Persian Language<OR>Ancient Greek<OR>Greek<OR>Persian<OR>Old Persian
Malta,Maltese<OR>English<OR>English language<OR>Maltese language
Raseborg,Swedish<OR>Finnish
"Kesklinn, Tallinn",Estonian
Buryatiya,Russian
Oulad Boubker,Amazigh
Collonge-Bellerive,French
Ukraine Ssr,Russian
Cossonay,French
Hankasalmi,Finnish
Ticinese,Italian<OR>Italian dialects
Haaparanta,Swedish<OR>Finnish
Manchu Dynasty,Chinese<OR>Mongolian
Ukrainian Soviet Government,Russian
Chuvash Republic,Chuvash<OR>Russian
Frankish,Greek
Imperium Romanum,Latin
Lugano,Italian-language<OR>Italian
Kaszuby,Kashubian
Canton De Berne,French
Moçambique,Portuguese
Nakkila,Finnish
Valencians,Spanish<OR>Catalan<OR>Catalan language<OR>Valencian
Kazakhstan,Kazakh<OR>Kaz<OR>Qazaq<OR>Kazakh language
Uurainen,Finnish
Vatican,Italian<OR>Latin
Alabama,English
Xelaju,Spanish
Incan Empire,Quechua
Daykundi,Dari
East Indian,Hindi
IAAF,English language<OR>English<OR>French
Autonomous Province Of Kosovo And Metohija,Serbian
Basel-Landschaft,German-language
Sebastopol,Ukrainian<OR>Russian
Achaemenian,Ancient Greek<OR>Old Persian
Taivassalo,Finnish
Welshman,English<OR>Welsh
Congress Poland,Polish<OR>Russian
Eire,English<OR>Irish
Persian Empire,Ancient Greek<OR>Ancient Greek Language
Lituania,Lithuanian
Kirkkonummi,Swedish<OR>Finnish
Florence,Latin
Lahti,Finnish
Northern France,French
Iitti,Finnish
Punjab (India),Punjabi language<OR>Punjabi
Azerbaijan Soviet Socialist Republic,Azeri<OR>Russian
Ceylon,Sinhalese<OR>Sinhala<OR>Sinhala language<OR>Tamil<OR>Sinhalese language
Navarre Province,Basque
Swiss,French-language<OR>Italian language<OR>Italian<OR>French<OR>Old French<OR>Germanic<OR>FR<OR>Ger.<OR>French language<OR>German language<OR>GER<OR>German-language<OR>Francophone
Kesklinn,Estonian
Puerto Rican,Spanish<OR>Spanish Language<OR>English<OR>Spanish language
CIE,French
Punkaharju,Finnish
Riihimäki,Finnish
World Esperanto Association,Esperanto
Galicia (Spain),Galician language<OR>Spanish<OR>Galician<OR>Spanish language<OR>Castilian
IEC,Catalan<OR>Catalan language
Närpes,Swedish
Vichy French,French
Udmurt Autonomous Soviet Socialist Republic,Russian
Montenegro,Bosnian<OR>Serb<OR>Croatian language<OR>Serbian language<OR>Montenegrin Cyrillic<OR>Serbian Cyrillic<OR>Serbian surname<OR>Serbian Language<OR>Croatian<OR>shqip<OR>Albanian<OR>montenegrin<OR>Serbian<OR>Albanian-speaking<OR>Albanian language<OR>Montenegrin<OR>Croat<OR>Montenegrin language
DPR,Ukrainian<OR>Russian
Carthage,Punic language<OR>Punic
BMU,English
Qing Rule,Chinese<OR>Mongolian
Trichur,Malayalam
Esperantujo,Esperanto
Haukipudas,Finnish
Respublika Tatarstan,Russian
Grand Duchy Of Flandrensis,Dutch
Belau,English<OR>Palauan
Santa Isabel,Spanish
Grand Duchy Of Moscow,Russian
National Film Board Of Canada,English language<OR>French language
Benkulen,Indonesian<OR>Indonesia
Hong-Kong,English
Faroes,Faroese language<OR>Faroese<OR>Danish
"Nokia, Finland",Finnish
Skolt Sámi,"Inari, Finland"
Kingdom Of Galicia–Volhynia,Old Ruthenian
Formosan,Hakka
Union Between Sweden And Norway,Swedish<OR>Norwegian
Luvia,Finnish
Burkinabè,French
Korpo,Swedish<OR>Finnish
Bahama Islands,English
PR,Spanish
Jokkmokk Municipality,Swedish<OR>Sami
Monegasque,French
Malaysia,Standard Malay<OR>English language<OR>English<OR>Malaysian Language<OR>Malay<OR>Malay language<OR>Malaysian language<OR>Bahasa Malaysia<OR>Anglophone
Mashhad,Persian Language<OR>Persian<OR>Persian language
Pelkosenniemi,Finnish
Frisia,Dutch<OR>Frisian
Myrskylä,Swedish
Berne,French
Savoy,French
"Salo, Finland",Finnish
Later Jin Dynasty,Chinese
Saarijärvi,Finnish
Free State,Dutch
Siilinjärvi,Finnish
French Guyanese,French
Sint Maarten,English<OR>Dutch<OR>Dutch language
MOLDOVA,Romanian
Manchus,Chinese<OR>Manchu<OR>Mongolian
Soini,Finnish
Spanish Texas,Spanish
Palau,English<OR>Palauan
Les Bois,French
Tsaft,Amazigh
Sysmä,Finnish
Trentino-Alto Adige,Italian language<OR>Italian
Brussels-Capital Region,Dutch<OR>French<OR>Francophone
Pakistan Occupied Kashmir,Urdu
RSK,Serb<OR>Serbian
North Korea,Korean language<OR>Hangul<OR>North Korean<OR>한국어
Akkadian,Assyrian
Urjala,Finnish
Armeno,Armenian
Sorsele Municipality,Swedish<OR>Sami
Equatorial Guinea,Spanish<OR>French<OR>Portuguese<OR>Spanish language<OR>Portuguese language<OR>Francophone
Uruguai,Spanish
"Aappilattoq, Kujalleq",Greenlandic language
Camorino,Italian
Südtirol,Italian language<OR>Italian<OR>German language<OR>German-language
"Lavia, Finland",Finnish
La Rioja (Spain),Spanish
Storuman Municipality,Swedish
Kachin,Kachin State
Newfoundland And Labrador,English
Comoros,Comorian<OR>French<OR>Shikomori
Guinea,French<OR>Portuguese<OR>French language<OR>francophone<OR>Francophone
Găgăuzia,Russian
Utajärvi,Finnish
Azerbaijani,Azeri<OR>Russian<OR>Azerbaijani language
Savukoski,Finnish
Barbadian,English
Khanty–Mansi Autonomous Okrug,Russian<OR>Mansi language
Mexican Texas,Spanish
French Guyana,French
Nafarroa,Spanish<OR>Basque language<OR>Basque
Pitcairn Islands,English language<OR>English<OR>Pitkern
Parainen,Finnish
Olympic Movement,English<OR>French
Ellan Vannin,Manx Gaelic<OR>Manx-language<OR>Manx
"Hyderabad, India",Telugu language<OR>Telugu-language<OR>Urdu<OR>Urdu language<OR>Telugu<OR>Telugu Language
Soviet,Russian-language<OR>Russified<OR>Russian Language<OR>Great Russian<OR>Russian<OR>Russian language
Vähäkyrö,Finnish
NS,English
Indore,Hindi<OR>Hindi-language
"Middletown, Connecticut",English
AJK,Urdu<OR>English
Spanish Crown,Spanish
Aragonese Crown,Catalan
Antilles,English<OR>Dutch<OR>Papiamento<OR>Papiamentu
Sui Dynasty,Chinese
Jersey,French
Vaasa,Swedish<OR>Finnish language<OR>Swedish-speaking<OR>Finnish
Åre Municipality,Swedish
Udmurt Autonomous Oblast,Russian
Montana,English<OR>Anglophone
Sakha (Yakutia) Republic,Russian
Panama,Spanish-language<OR>Spanish<OR>Spanish language<OR>Hispanic<OR>Castilian
Akaa,Finnish
Socialist Soviet Republic Of Abkhazia,Russian
Djiboutian,French
Pargas,Swedish<OR>Finnish
Kabardino-Balkar Republic,Karachay-Balkar<OR>Kabardian<OR>Russian
Krokom Municipality,Swedish
Udmurtiya,Russian
El Perú,Spanish
Islas Malvinas,English
Canadian Federation,French
Sambir,Ukrainian
Finnish Border,Swedish<OR>Finnish
Papua,English<OR>Tok Pisin
Nagorno-Karabakh,Armenian
Southeast Nigeria,Igbo
Pancyprian Union Of Chemists,Greek<OR>Greek language
Brunei Darussalam,English<OR>Malay
Northern Kosovo,Serbian<OR>Serbian Cyrillic
Wetzikon,German-language
Chinese Qing Dynasty,Chinese
Berga,Swedish
South Vietnam,Vietnamese
Madagascan,Malagasy<OR>French
Tornio,Finnish
Venetians,Italian<OR>Latin
Haparanda,Swedish<OR>Finnish
Vietnam,Vietnamese writing<OR>Vietnamese Language<OR>Vietnamese-speaking<OR>Vietnamese-language<OR>tiếng Việt<OR>Vietnamese language<OR>Vietnamese
Comoro Islands,Comorian<OR>French<OR>Shikomori
CSTO,Russian
Niuē,Niuean
Mari El Republic,Meadow Mari<OR>Russian<OR>Mari
Bissau-Guinean,Portuguese
Khiva,Uzbek
Bahamas,English
Bengkulu Province,Indonesian<OR>Indonesia
"Lapua, Finland",Finnish
Helmand Province,Dari
Jewish Autonomous Oblast,Hebrew<OR>Russian
Late Roman Empire,Greek<OR>Latin
Hartola,Finnish
Macau Special Administrative Region,Chinese<OR>Portuguese
Constituent Countries,Dutch
French Southern Territories,French
Aragonese Empire,Catalan
Villmanstrand,Finnish
"Hyderabad, Telangana",Urdu<OR>Telugu<OR>Urdu language
Karabakh,Armenian
Muhos,Finnish
New Scotland,English
Fribourg,French<OR>German language
Nauruan,English<OR>Nauruan language
International Amateur Athletics Federation,English
Surinamese,Dutch
Rauma,Finnish dialects<OR>Finnish language<OR>Finnish
British Palestine,Hebrew
Unoccupied France,French
Venezia Tridentina,Italian
French Guiana,French-language<OR>French
Iran,Modern Persian<OR>Persian-speakers<OR>Middle Persian<OR>Dari<OR>Persian Language<OR>Persian language<OR>Pahlavani<OR>Persian-language<OR>New Persian<OR>Parsi<OR>Old Persian<OR>persian language<OR>Persian<OR>Farsi
Venezuela,Spanish-language<OR>Spanish<OR>Spanish language<OR>Castellano<OR>Venezuelan Sign language<OR>Castilian<OR>Hispanic
Bible Translations Into Esperanto,Esperanto
Geneve,French
Russian Orthodox,Church Slavonic
"Multia, Finland",Finnish
Helsinki,Swedish<OR>Swedish-speaking<OR>Finnish<OR>Sw.<OR>Finnish language
Perm Krai,Russian
RA,Armenian
Flemish,Dutch<OR>Dutch language<OR>French<OR>Dutch-language
Taivalkoski,Finnish
Kiuruvesi,Finnish
Muonio,Finnish
香港,English
Alavieska,Finnish
Easter Island,Spanish<OR>Rapa Nui language
Dutch Antilles,Dutch
NJ,English
Sevastopol,Ukrainian<OR>Russian<OR>RU
Aragón,Spanish-language<OR>Spanish<OR>Aragonese<OR>Spanish language<OR>Catalan
Kaustinen,Finnish
Kanton Bern,French
Frisian,West Frisian<OR>Dutch
Catalonia,Catalan philology<OR>catalan language<OR>Catalán<OR>Catalan language<OR>Catalan Language<OR>Castilian<OR>Spanish-language<OR>Spanish<OR>Old Catalan<OR>Valencian<OR>Spanish language<OR>Aranese<OR>Catalan-language<OR>Catalan Philology<OR>Aranese dialect<OR>catalan<OR>Castilian Spanish<OR>Catalan<OR>Catalonian
Tahiti,French
Central Brussels,Dutch<OR>French
Soviet Government,Russian
Western Georgian,Georgian
Russian Soviet Federated Socialist Republic,Russian
Geneva Canton,French
Venetian,Italianised<OR>standard Italian<OR>italianised<OR>Italian<OR>Venetian language<OR>Latin<OR>Italianized<OR>Venetian Language
Manchu,Simplified Chinese<OR>Chinese<OR>Mongolian
