source,target
La Antorcha De La Amistad,United States
"Mazar, South Khorasan",Persian<OR>Iran
Isaida Station,Japan
Ritsurin Garden,Japan
"Mikhaylovsk, Stavropol Krai",Russia
Dampierre-Sur-Salon,France
Doropolje,Slovenia
Úpohlavy,Czech Republic
"Saint-Siméon, Orne",France
"Gümüşgöze, Alanya",Turkey
"Kızılağaç, Kaş",Turkey
École J. H. Picard School,Canada
Legislative Chamber,Uzbekistan
"Gar Ab, Hormozgan",Persian<OR>Iran
"South Bay, Los Angeles",Union
Rumale,Nepal
Cannae,Italy
N60,Irish<OR>Ireland
Summerland Secondary School,Canada
Kuivajõe,Estonia
Hadda',Saudi Arabia
Tit-Ebya,Russia<OR>Russian
Essex Company Machine Shop,Union
Khartsyzsk,Ukraine
"Benton County, Arkansas",United States<OR>USA
"Machnacz, Podlaskie Voivodeship",Poland
Central Kootenay Regional District,Canadian
Chatrud,Iran
Montbonnot-Saint-Martin,France
Sagliano Micca,Italian
Czuchów-Pieńki,Poland
Quebec-Centre,Canada<OR>Canadian
Agios Ioannis Malountas,Cyprus
Collège Bourget,Canada
Wasseiges,Belgium
"Kiełpiny, Warmian-Masurian Voivodeship",Poland
Booroobin,Australia
"Gazan, Kermanshah",Persian<OR>Iran
Mongibello,Italy
Șimișna,Romania
Rajuk Bhaban,Bangladesh
Kayalıköy Dam,Turkey
Palpara,India
Meilland Family,France
William Lowndes Yancey Law Office,United States<OR>Union
Carregado,Portuguese<OR>Portugal
"Golejewo, Greater Poland Voivodeship",Poland
Sliventsi,Bulgaria
Prime Minister Of Ghana,Ghana
Peekskill Presbyterian Church,United States
1911 Cincinnati Reds Season,American
Deveselu River,Romania
Santa Bárbara De Heredia,Costa Rica
Radovčići,Croatia
Sept-Îles/Lac Rapides Water Aerodrome,Canada
Valdezia,Southern Africa<OR>South Africa
"Mary, Turkmenistan",Turkmenistan<OR>Turkmen
"Olive Township, Madison County, Illinois",United States
Valentovce,Slovakia
Museo De Arte Latinoamericano De Buenos Aires,Argentina
"St. Marys, Ontario",Canada
Mckenzie Pass,United States
Ligugé Abbey,France
2009 Women'S Eurohockey Nations Championship,Netherlands
Scandicci,Italy
"Dellen, Luxembourg",Luxembourg
Vandavasi (Lok Sabha Constituency),India
"Furan, Iran",Persian<OR>Iran
Soloneshensky District,Russia
Mcdermitt State Airport,USA
Ballinhassig Gaa,Ireland
Eduardo H. Gato House,United States
Nalanda Polytechnic,India
"Newport, Minnesota",United States
Mission Nuestra Señora De Los Dolores,Mexico
St Peters,Australia
Wichita Blue,American
Parry'S Corner,India
Château De Chandioux,France
Mudzi East,Zimbabwe
Caçarelhos E Angueira,Portugal
Swiss Prealps,Swiss
Chollima-Guyok,North Korea
Helen Glacier,US<OR>American
"Szymanów, Wrocław County",Poland
Röckingen,Germany
Uda Hapuwida,Sri Lanka
Socialist Realist,Soviet<OR>Soviet Union
Oklahoma Alliance,United States<OR>American
"Niihama, Ehime",Japan
Podgorje Pri Pišecah,Slovenia
Quillo District,Peru
Fedje,Norwegian<OR>Norway
Donačka Gora,Slovenia
Maja E Elbunit,Albania
Åland Maritime Museum,Finland
Trap Rock River,United States
"Yasso, Burkina Faso",Burkina Faso
Šarišská Poruba,Slovakia
Caran River,Romania
Edmonton (Via Rail Station),Canadian
"Dietrich, Idaho",United States
F. J. Brennan Catholic High School,Canada
Breiter Graben,Germany
Cherokee Creek Boys School,United States<OR>American
"Wólka Grodziska, Podkarpackie Voivodeship",Poland
"Gazabad, Dowlatabad",Persian<OR>Iran
"Akbarabad, Zarrin Dasht",Persian<OR>Iran
Mineruázinho River,Brazil
Saint-Martin-De-Lixy,France
Bartlett Arboretum And Gardens,USA
Pa Sefid,Persian<OR>Iran
Aichi Gakusen College,Japan
Porosły-Kolonia,Poland
Motomiya Station,Japan
Kottappally,India
Luychu Urqu,Peru
Clear Fork (Guyandotte River),United States
Badiyah,Oman
Fetița River (Sebeș),Romania
Washington Terrace (St. Louis),Union
Oderne,Poland
Weesperplein Metro Station,Netherlands
National Library Of South Africa,South Africa
"Preble, New York",United States
Temescal,United States
"Cendeve, Akseki",Turkey
Recurt,France
Marpak,Nepal
Marmaray,Turkey
Hamilton East,Canada<OR>Canadian
6Th Armoured Division (South Africa),South Africa
"Atlıhisar, Şuhut",Turkey
Norwood Secondary College,Australia
Denman Arena,Canada<OR>Canadian
Monument National,Canada
Norway At The 1964 Summer Olympics,Japan
Apalachin,United States
"Savali, Iran",Persian<OR>Iran
"Montignac, Dordogne",France
Kuhmo,Finnish<OR>Finland
Antanimeva,Madagascar
Darani-Ye Olya,Persian<OR>Iran
"All Saints College, Maitland",Australia
Ojarud-E Gharbi Rural District,Persian<OR>Iran
Biasca,Switzerland<OR>Swiss
Oli Kandi,Persian<OR>Iran
Lassen National Forest,United States
"Hasanabad, Kangavar",Persian<OR>Iran
La Isla (Colunga),Spain
Skonto Rīga,Latvian
Segnitz,Germany
Pain Marznak,Persian<OR>Iran
Gmina Iwierzyce,Poland
"Allenwood, New Jersey",United States
Porga Airport,Benin
"Harrison Township, Carroll County, Ohio",United States
Trehörningen (Sjödalen),Sweden
Mongkol Borei,Cambodia
Trey Whitfield School,USA
"Horns Corners, Wisconsin",United States
Lutz Tavern,United States
Latvian Social Democratic Party,Latvia
"Nawa, Afghanistan",Afghanistan
Studénka,Czech Republic
I-705,United States
Godar Gardyal,Persian<OR>Iran
Water For South Sudan,US
"Abbasabad, Gonbaki",Persian<OR>Iran
Heteborn,Germany
Grande Porto,Portuguese<OR>Portugal
Krumovitsa,Bulgaria
Downtown Plainfield Historic District,United States
Adam Joseph Lewis Center For Environmental Studies,United States
Mazraeh Jazmeh,Persian<OR>Iran
Bonate Sotto,Italian<OR>Italy
KZIZ,USA
Ferhadlu,Iran
Schwabstedt,Germany
Huntsburg Township,United States
Paskuh Rural District,Persian<OR>Iran
Bragança District,Portugal
"Marianowo, Szamotuły County",Poland
"China Grove, Texas",United States
Litoral Province,Equatorial Guinea
Live Oak High School,United States
"Medford (Town), Wisconsin",United States
Central Institute Of Fisheries Education,India
Holman Stadium,United States<OR>American
Băltăgești River,Romania
Viana Do Alentejo,Portugal
"Thistledown, Colorado",United States
So So Def Recordings,United States<OR>American
International Commission Of Agricultural And Biosystems Engineering,Belgium
"Burt, New York",USA
United States Air Force Security Service,US
Glassy Mountain (South Carolina),USA
Scotiabank Saddledome,Canada
Uchinomaki Station,Japan
Bnachii,Lebanon
2002 Canada Masters And The Rogers At&T Cup,Canada
HM-19,USA
"Cuzzie, West Virginia",United States
Acs Ksar,Mauritania
GTU,India
Canal De Bourbourg,France
Oberbettingen,Germany
Daugava Stadium,Latvia
"Yush, South Khorasan",Persian<OR>Iran
Liepa Parish,Latvia<OR>Latvian
The Progressive Corporation,United States
Mercedes Umaña,El Salvador
Nucourt,France
Văluța Oil Field,Romania
Dalborowice,Poland
Dalıqaya,Azerbaijan
Krajewice Duże,Poland
Fk Kvik,Norwegian
Birat,Nepal
Hornelen,Norway
Valdivieso Advertising Sign,Chile
Bihadi Ranipani,Nepal
Kansas State Capitol,United States
Lachówka Duża,Poland
Ambenay,France
Urinj,Croatia
Tōji Station,Japan
Ropki,Poland
Batorampon Point,Philippines
Dragodol,Serbia
Borowiki,Poland
Jakubowo-Węgielin,Poland
"United States Senate Election In Florida, 2016",United States
Akçakent,Turkey
"Sprigg, West Virginia",United States
Exmouth Gulf Station,Australia
Married Accommodation Project,India
"Sycamore, Ohio",USA<OR>United States
Paco District,Philippines
Rome Air Development Center,US
Kheyvis Fire,Argentina
Smin,Bulgaria
"Hoppers Crossing, Victoria",Australia
Valley Jr. Warriors,American
Budanur,India
Museum Of Cultures (Basel),Swiss
Tyresö Centre,Sweden
Beauménil,France
"General Mosconi, Salta",Argentina
Bolshoy Solovetsky Island,Russia
Shahrak-E Darya Kenar,Persian<OR>Iran
Borszczów,Ukraine
1954 Argentine Grand Prix,Argentina
Kirchberg Convent,Germany
"San Jose, San Pablo, Laguna",Philippines
Capital One 360,United States
Elxleben,Germany
Forollhogna,Norway
Batagolla,Sri Lanka
Khemis Miliana,Algeria
Imling,France
Kaposszerdahely,Hungary
Łodzinka Górna,Poland
"Lancaster Memorial (Weiswampach, Luxembourg)",Luxembourg
Kyllburg (Verbandsgemeinde),Germany
Andover Central School,U.S.A.
Villages Of Shkodër County,Albania
Beesten,Germany
Möckern-Loburg-Fläming,Germany
Tengako,Tuvalu
Kamenná (Třebíč District),Czech Republic
Râul Leleștilor,Romania
Sharabian,Iran
Sosnowa Góra,Poland
"Kołonice, Podkarpackie Voivodeship",Poland
Pathway Genomics,American
Ishiyama-Dera,Japan
Colombo Port Maritime Museum,Sri Lanka
List Of Pre-Statehood Mayors Of San Diego,United States
Courvaudon,France
Labour Party (Nigeria),Nigeria
Tajik Soviet Socialist Republic,Soviet Union<OR>Russian
Mount Abantos,Spain
Velden (Pegnitz),Germany
KAP,Australia
Fonal Records,Finland
Liberator Music,Down Under<OR>Australia
Oroville,USA<OR>United States
"Gentry, Arkansas",United States
N. P. Smith Pioneer Hardware Store,United States
"Durango, Biscay",Spain
Doumanaba,Mali
"Surg, Khuzestan",Persian<OR>Iran
Stadion Rankhof,Switzerland
Mount Iraya,Philippines
Soledad,United States<OR>American
"La Falda, Córdoba",Argentine
Aransas Pass Independent School District,USA
"Daşbulaq, Shaki",Azerbaijan
Hara Seghira Synagogue,Tunisia
"Eastern Region, Uganda",Uganda
Lake Chebarkul,Russia
Chrósty Wysińskie,Poland
2011 Spanish General Election,Spain
2000 Olympics,Australia
"Zeehan, Tasmania",Australia
São Martinho De Anta (Sabrosa),Portugal
"Klin, Klinsky District, Moscow Oblast",Russia
Saab Bofors Dynamics,Sweden
Geography Of Angola,Angola
Qahremanlu,Persian<OR>Iran
"Bobrówka, Mońki County",Poland
Tabb High School,US
Celtic Cup,Ireland
Wały B,Poland
"Dayton, Richland County, Wisconsin",United States
Chairman Of The Senate Of Pakistan,Pakistan
Poste Vaticane,Vatican City<OR>Vatican City State
Loitokitok Airport,Kenya
"Hillaby, Saint Andrew, Barbados",Barbados
Fara Novarese,Italian
Sand Cay,Vietnam
Gibostad Chapel,Norwegian<OR>Norway
Sant'Andrea Di Conza,Italy
"Chenar-E Olya, Hamadan",Persian<OR>Iran
"Merrivale, Kwazulu-Natal",South Africa
"Borj, Bojnord",Iran
"Fairfield Township, Madison County, Ohio",United States
Ellibou-Badasso,Ivory Coast
"Tabbat, Bukan",Persian<OR>Iran
"San Justo, Santa Fe",Argentina
Volga-Dnepr,Russia
"Hazel Green, Alabama",United States
"Fleenortown, Virginia",United States
Waconda Lake,United States
Arnhem Post Mill (1946),Netherlands
Zvotoky,Czech Republic
"Lobo, Batangas",Philippines
Hasan Tabib,Persian<OR>Iran
"Scotland County, North Carolina",USA<OR>United States
"Chah Shur, Fasa",Persian<OR>Iran
Kawabeoki Station,Japan
Sichuan International Studies University,China
Hooghly,India
North Aral Sea,Kazakhstan
Andalucía,Spanish<OR>Spain
Węgrzynówek,Poland
Villaverde De Medina,Spain
Leimersheim,Germany
Shin-Kiryū Station,Japan
As Poissy,France
"Yeşilköy, Bolu",Turkey
Tit Kan,Persian<OR>Iran
Denmark–Serbia Relations,Serbia
Katsura Detached Palace,Japan
Dwyer High School,United States
Great Famine'S Effect On The American Economy,United States
Aternus,Italy
Partry,Irish<OR>Ireland
Pola River,Russia<OR>Russian
"Athlone, Edmonton",Canada
Buolick (Townland),Ireland
Población De Campos,Spain
"Armutlu, Bayburt",Turkey
Swiss Tower,United Arab Emirates
Drávagárdony,Hungary
Nora Free Christian Church,United States
"Stratford, New Hampshire",United States
Worthing High School,United States
"Newcastle, Nsw",Australia
KFLD,USA
Treaster Run,United States
Kaszuba Leśna,Poland
Fort Panmure,United States
Australian Tax Office,Australia
Monte Rosa,Switzerland<OR>Swiss
Santa Cruz Do Piauí,Brazil
Palanga Rural District,Persian<OR>Iran
Lommel United,Belgium
John R. Wright House,United States
"Kelid Bar, Sowme'Eh Sara",Persian<OR>Iran
Ait Naoual Mezada,Algeria
Porters Lake Airport,Canada
784Th Tank Battalion (United States),US
Democracy Day (Canada),Canada<OR>Canadian
Hassel (River),Germany
EDES,Greek<OR>Greece
Märkische Heide,Germany
"Elgin, Ontario",Canada<OR>Canadian
Cavad,Azerbaijan
Cape Capricorn,Australia
"Abyan, Iran",Persian<OR>Iran
Kızılgeçit,Turkey
Grabowo Parchowskie,Poland
Goli Rid,Serbia
Teliasonera International Carrier,Sweden
Dinozé,France
Valvasone,Italy
Jacundá River (Pará),Brazil
Trafesso,Ivory Coast
Nurani,India
Bogomil (Village),Bulgaria
Nyngan,Australia
"C. A. Rosetti, Tulcea",Romania
London Corner,Gambia
Morrisania,United States<OR>Union<OR>US<OR>American
Trnov,Czech Republic
Salamis,Greece
Liceo San José,Chile
Valea Caldă River (Someș),Romania
Caloocan City,Philippines
Vervins,France
Azamabad,Persian<OR>Iran
"Begno, Płock County",Poland
"Richland Township, Defiance County, Ohio",United States
Tang-E Esmail,Persian<OR>Iran
Roman Catholic Diocese Of Iquique,Chile
National Peasants' Party,Romanian<OR>Romania
Palcheqli,Persian<OR>Iran
Dos Cavalos River,Brazil
Plungė,Lithuania
"Amagon, Arkansas",United States
New Hannover,Papua New Guinea
"Karatepe, Antalya",Turkey
"Agloe, New York",US
Dompierre-Sur-Héry,France
"Church Of St. Barnabas (Irvington, New York)",United States
Nishi-Takashimadaira Station,Japan
H.E.A.R.,United States<OR>American
KOCCA,South Korean
"Belleville Township, Chautauqua County, Kansas",USA
"Kamienna Wola, Masovian Voivodeship",Poland
Karindabaylweyn,Somalia
Dari Char Gazipur,Bangladesh
Azad Gaz,Persian<OR>Iran
Coast Guard Reserve,United States<OR>US
State Courts,Singapore
"Kinikinik, Colorado",United States<OR>USA
Allakh-Yun,Russia
Rozhraní (Svitavy District),Czech Republic
"Siah Bil, Khoshabar",Persian<OR>Iran
North Malaka,India
Rio 2016,Brazil
Panjkora River,Pakistan
Montredon,France
Vinstre,Norway
Hương Vĩ,Vietnam
Mizen Head,Irish<OR>Ireland
Brussels Capital-Region,Belgian
"Buckingham, Illinois",United States
Gornje Krajince,Serbia
Bang Kapi District,Thailand
Rossel Mountains,Papua New Guinea
Torre Mahou,Spain
Garfield Park (Indianapolis),United States
"Ledbetter Gardens, Dallas",United States
Trzeciewnica,Poland
Keppeshausen,Germany
Tumbul,Azerbaijan
Ghanool,Pakistan
Tomorrowland,United States<OR>Japan<OR>China<OR>American
Madhurijabdi,Nepal
Vargem,Brazil
Talib Nagar,India
Hohenwang Castle,Austria
Guinness,Irish<OR>Ireland
Regina Exhibition Park,Canada
Saint-Hilaire-Cottes,France
Chekhovskiye Medvedi,Russia
Lake Murray,United States
Stephanie Falls,Canada
SBS,Korea<OR>South Korean<OR>South Korea<OR>Australia
"Sterling City, Texas",USA
Ukanafun,Nigeria
Hudson (Amt),Canada
Cavalaire,France
Karhunkierros,Finland
Boyle Heights,United States<OR>American
"Laguna Park, Texas",United States
KODL,USA
Andalusia,Spanish<OR>Spain
Hembrug,Netherlands
Off Tackle (War Plan),US
Oker (Goslar),Germany
Zhonglu,China
Nooitgedacht Dam Nature Reserve,South Africa
Archbishop Mcnicholas High School,USA
Kamondo,Kenya
New York State Route 415,United States
Kalpani Railway Station,Pakistan
Skoulli,Cyprus
Alaknanda,India
Cable News Network (Cnn),American
Downtown Mrt Station,Singapore
Rennell/Tingoa Airport,Solomon Islands
Mackenzie River,Canada<OR>Canadian
"Hazeldean, Edmonton",Canada
Villa Unión,Argentina
Augustówek,Poland
Electronics City,India
Akershus,Norway<OR>Norwegian
Minera Escondida,Chile
Richfield Oil,American
Sansiz,Persian<OR>Iran
Celerina/Schlarigna,Swiss
Jangheung,South Korean
Terrefondrée,France
Yuanyang Colliery Outburst,China
"Ruda, Silesian Voivodeship",Poland
Nayombo,Togo
Greater Kansas City Golf Classic,US
Calgary-Northern Hills,Canada
"Dolans Bay, New South Wales",Australia
"Hindki, Khyber Pakhtunkhwa",Pakistan
Kério,France
Nowlamary,Bangladesh
"Kugler Township, St. Louis County, Minnesota",United States
"North Branford, Connecticut",United States<OR>American
Bardsir,Persian<OR>Iran
Howey House,United States
Erg Chebbi,Morocco
Vastan,Persian<OR>Iran
Mouloud Mammeri University Of Tizi-Ouzou,Algeria
Mertzen,France
