source,target
کیبل کاؤنٹی، مغربی ورجینیا,ہنٹنگٹن، ویسٹ ورجینیا۔ <OR> ہنٹنگٹن
گمنہ گورزکووِسے,گورزکویس
ساکی ریون,سکی
مسندم گورنریٹ,خاصاب
نادورینا ریون,نادورنا
لاروٹو,موناكو
ہینپین کاؤنٹی، مینیسوٹا,مینیاپولس، مینیسوٹا <OR> مینیاپولس، MN <OR> مینیاپولس
کینٹون آف سووینی,سویوینی
الٹو منہو,ویانا
ریئتی صوبہ,ریتی۔
اکومک کاؤنٹی,اکومک <OR> اکومک، ورجینیا <OR> ڈرمونڈ ٹاؤن
اینوگو ریاست,اینوگو
سیریڈیگن,ایبریسٹوتھ <OR> ابیرایرون <OR> ایبرےرون
پوتومایو محکمہ,موکوا
محکمہ,ٹولون
گنگامپ کا ضلع,گنگامپ
تنسرم ڈویژن,داوی <OR> تاؤوی
کازیمیئرزا ویلکا کی کمیونہ,کازیمیئرزا ویلکا
ٹوریز اسٹریٹ جزیرہ علاقہ,جمعرات کا جزیرہ
قاجار,تہران
ایتھوپیا,ادیس ابابا <OR> 10 ذیلی شہر <OR> گوندار <OR> ادیس ابابا <OR> ادیس ابابا
ادغے خودمختار علاقہ,کراسنوڈار <OR> مے کوپ
کرو ونگ کاؤنٹی,برینرڈ، MN <OR> برینرڈ
مصراتہ,مصراتہ
ایکواڈورین,کیٹو
ہندو-پارتی سلطنت,ٹیکسلا
کیپیلن (کینٹن),کیپیلن
دیوربل علاقہ,دیوربل
سیزر ڈیپارٹمنٹ,والیدوپار
بلک کاؤنٹی، الاباما,یونین اسپرنگز
اتر پردیش,لکھنؤ <OR> موہن لال گنج
سینٹ جارج پیریش، سینٹ ونسنٹ اور گرینیڈینز۔,کنگسٹاؤن
چین پی آر سی,بیجنگ
چندیل,خجروہو
مغربی پاکستان,پشاور
سخالین اوبلاست,توئیہارا <OR> یوجنو-سکھالنسک
جاپانی سلطنت,ٹوکیو
ٹورنس کاؤنٹی,ایسٹینسیا وادی
سینٹرو سور صوبہ,ایونائیونگ
سیواگنگا ضلع,سواگنگائی <OR> سواگنگا
کولمبیا کاؤنٹی، پنسلوانیا,بلومسبرگ <OR> بلومزبرگ، کولمبیا کاؤنٹی۔
انعام,ہنوئی
فرانسیسی بادشاہت,پیرس
ہسپانوی نوآبادیاتی دور,میکسیکو سٹی
بینگٹسفورس میونسپلٹی,بینگٹسفورس
ونسٹن کاؤنٹی,ڈبل اسپرنگز
قبالا,قابالا
خوتان کی سلطنت,ہوتان
ایسانتی,کیمرج <OR> کیمرج، مینیسوٹا
مپیگی ضلع,مپیگی
برکینی Faso,اوگادگوگو
سینٹ ماریز ڈی لا میر کا کینٹون,سینٹ ماریز ڈی لا میر
قازقsky اویئزد,قازاخ
نیاندومسکی ضلع,نیانڈوما
رون-الپس,لیون
اسٹیلن بوش میونسپلٹی,اسٹیلن بوش
ڈین کاؤنٹی، وسکونسن,میڈیسن <OR> میڈیسن، وسکونسن
پیملیکوں کاؤنٹی، شمالی کیرولائنا,بےبورو
ہسپانوی دوسری جمہوریت,میڈرڈ
سارلahi,ملنگوا
راکوری پیریش,راکوری
شمالی لینارک شائر کونسل,ماں کا شہر
کاسٹیلیائی,برگوس
نائے کاؤنٹی,ٹونپاھ <OR> ٹونپا، نیواڈا
بینن,پورٹو نوو
ایسٹر جزیرہ,ہنگا روآ
نازی جرمن,برلن
تھورنگیا,ایرفورٹ
چیری کاؤنٹی,ویلنٹائن <OR> ویلنٹائن، نیبراسکا
یکاترینوسلاو,ڈنیپروپترووسک
ورخنودنیپروفسک ریون,ورخنودنیپروفسک
گریٹر اکرا,اکرا
ویگو میٹروپولیٹن علاقہ,ویگو
شمالی بنات ضلع,کیکندا
وڈفورڈ کاؤنٹی,ورسیلز، کینٹکی <OR> ورسیلیز
آرگولیس اور کورنتھیا صوبہ,نافپلیو
ویکسفورڈ کاؤنٹی,کڈillac، مشی گن۔ <OR> کیڈillac، MI <OR> کڈillac
برسلز دارالحکومت علاقہ,برسلز
سنگھاسری سلطنت,ملنگ
جنوبی کردستان,ہیو لیر
میلبرن,مرکزی کاروباری ضلع <OR> میلبرن سی بی ڈی <OR> سی بی ڈی <OR> میلبرن مرکزی کاروباری ضلع <OR> میلبرن شہر کا مرکز <OR> میلبرن سٹی سینٹر <OR> مرکزی کاروباری ضلع
ہواریز صوبہ,ہواراز
موانزا ریجن,موانزا
بے کاؤنٹی، مشی گن,بے سٹی <OR> بے سٹی، ایم آئی
کیڑا,بوداپسٹ
نیو-الیم ضلع,نیو الیم
متحدہ عرب امارات,ابو ظہبی <OR> ابو ظہبی شہر <OR> ابو ظہبی، متحدہ عرب امارات۔
روکنگیری ضلع,روکنگیری
آسٹریا-ہنگری,بوداپسٹ
گلازوفسکی ضلع,گلازوف
مغربی نیو برطانیہ صوبہ,کیمبے
اورلینز کاؤنٹی، نیو یارک,ایلبیئن <OR> ایلبیون، نیو یارک
اونٹاریو,ٹورنٹو، اونٹاریو <OR> ٹورنٹو <OR> ٹورنٹو
جیریلڈری شائر,جیریلڈری
وانڈربرگ,ایوانزویل، انڈیانا <OR> ایوانزویل
پوبلو نیوو میونسپلٹی، دورنگو۔,ایل سالتو
نیووا وزکایا,بایومبونگ
مارکریڈ میونسپلٹی,مارکریڈ
داواؤ اورینٹل,ماتی، داواؤ اورینٹل۔ <OR> مٹی <OR> مٹی شہر
ایجن کا ضلع,ایجن
اگو ضلع,پورٹ شیپ اسٹون
لوریتو,ایکیٹوس
لاگوس,آئیکجا
کامرون,دوئلا
سندھ صوبہ (1936–55),کراچی
واسچ کاؤنٹی,ہیبر سٹی
فورٹ-ڈی-فرانس 9 واں کینٹن,فورٹ-ڈی-فرانس
لیڈیائی,ساردیس <OR> سردیس <OR> سردیس
امارت,ابو ظہبی <OR> ابو ظہبی، متحدہ عرب امارات۔
ہوتک,قندھار
بیننگٹن کاؤنٹی,مینچسٹر، ورمونٹ۔ <OR> مانچسٹر
تائی ڈونگ کاؤنٹی,تائی ڈونگ شہر
مغربی صوبائی کونسل,کولمبو
نلگنڈہ ضلع,نلگنڈہ
اپسالا کاؤنٹی,اپسالا <OR> اپسالا
اونٹاریو کا رہائشی,ٹورنٹو
لوگون مغربی,موندو
اسٹاک ہوم کے مضافات,اسٹاک ہوم
ٹرزیبنیکا کاؤنٹی,ٹرزیبنیکا
موزمبیقی,مپیٹو <OR> لورینسو مارکیش
کانڈالاکشسکی ضلع,کانڈالاکشا
فرانسیسی سرڈینیا,مونٹ-لوئس
الامیڈا کاؤنٹی، کیلیفورنیا,اوکلینڈ، کیلیفورنیا <OR> اوکلینڈ
اسٹوروژینٹس ریجن,اسٹوروژینٹس
تیزنیٹ صوبہ,تیزنیٹ
سٹر کاؤنٹی، کیلیفورنیا,یوبا سٹی
جیانگسی,نانچنگ
وفاقی جمہوریہ جرمنی,برلن <OR> مشرقی برلن
سان جوان کاؤنٹیز,سلورٹن <OR> سلورٹن، کولوراڈو
یالوتوروسکی ضلع,یالوتوروسک
لیک کاؤنٹی، الینوائے,واؤکیگان
سلجوق,ایکنیم <OR> کونیا
مرسر کاؤنٹی,ٹرینٹن شہر
گمینا کرزیشووٹس,کرزیشووِسکے
بدھلہ ضلع,بدھلا
لِنکن پیریش,راستون، ایل اے <OR> رسٹن، لوئیزیانا <OR> راستون
کیمپانیا,نیوپولس <OR> نیپلز <OR> نیپلز کا <OR> نیپلز، اٹلی <OR> نیپلز
الجزیرہ (ریاست),ود مدنی
ایلڈرڈیل بورو کونسل,ورکنگٹن
کینٹون آف بویلانٹ,بویلانٹ
کاوانا میونسپلٹی,کاوارنا
کینٹ این رُوسیون,کینیٹ-ان-روسillon
ڈولج کاؤنٹی,کرایوا
تومبیس,تمبیز
پافوس ضلع,پافوس <OR> پافوس
نیانداروا ضلع,اول کالو
سین سین ڈینی,بوبيني
چیپوا کاؤنٹی، وسکونسن,چیپوا فالز <OR> چیپویوا فالز، وسکونسن
گمینا پریورنو,پریزوورنو
جیھلاوا ضلع,ایگلاو
وڈ کاؤنٹی، وسکونسن,وِسکونسن ریپڈز <OR> وِسکونسن ریپڈز، وِسکونسن
نیلا زمین کاؤنٹی، مینیسوٹا,مینکاتو، مینیسوٹا <OR> مینکاتو
ماناواتو-وانگانوی,پالمسٹون نارتھ
گوئیگل,ہیلیندورف <OR> خانlar
پاپوا (صوبہ),جے پورا
لی کاؤنٹی,فورٹ مائرز <OR> فورٹ مائرز، فلوریڈا <OR> فورٹ مائرز، فلوریڈا
سسیلی کا امارت,پالermo
کیروو-چیپیٹسکی ضلع,کیروو-چیپیٹسک
جنوبی کیری,ٹرالی
کسانسائی ضلع,کوسنصوئی
ویسٹ لینڈ (بلدیہ)، نیدرلینڈز,نالڈویک
جیولابوک-دو,جونجو
جانسن کاؤنٹی، وائیومنگ,بھینس <OR> بفلو، وائیومنگ
پی این جی,پورٹ مورسبی <OR> پورٹ مورسبی، پاپوا نیو گنی۔
پریری کاؤنٹی، آرکنساس,ڈیس آرک
کوازولو-ناتال صوبہ,پیٹرمارٹزبرگ
لوونڈز کاؤنٹی، الاباما,ہینویل
اشتیان کا ضلع,اشتیان
کاوردھا ضلع,کوارڈھا
مدوگ,گالکایو <OR> گالکایو <OR> گالكایو
ریفوجیو کاؤنٹی,پناہ گاہ
اینٹیلوپ کاؤنٹی,نیلگھ <OR> نیلigh، نیبراسکا
ڈاکٹر جے ایس موروکا مقامی بلدیہ,سیا بوسوا
کازرون کا ضلع,کازرون
ٹرویس کا ضلع,ٹروآیس
رتھر فورڈ کاؤنٹی,مرفریسبررو <OR> مرفریسبررو، ٹینیسی
ماترم,کوٹا گیدے <OR> کیوو میدان
مسسیسیپی,جیکسن، مسیسیپی <OR> جیکسن
پوتیول راйон,پوتیول
برووسٹر کاؤنٹی,الپائن، ٹیکساس <OR> الپائن
گڑگاؤں ضلع,گڑگاؤں
مشرقی سیپک صوبہ,ویواک
خرمشہر ضلع,خرمشہر <OR> خرمشہر <OR> محمرہ
نیمپولا صوبہ,نیمپولا
ارلٹ محکمہ,ارلِت
الڈرنی,سینٹ این <OR> سینٹ این، آلڈرنی
مشرق سنگھ بھوم,جمشدپور
کوسٹاپل ریجن,کوسٹوپیل
میٹروپولیٹن بارو آف سولی ہل,سولی ہل
جنوبی افغانستان,کابل
چمپاسک,پاکسے
پلاٹ کاؤنٹی، نیبراسکا,کولمبس، نیبراسکا <OR> کولمبس
ملغاشی سیاستدان,انٹاناناریوو
اینڈریو کاؤنٹی,ساوانہ، میزوری <OR> سوانا
ساؤک کاؤنٹی، وسکونسن,بارابو <OR> بارابو، وسکونسن
کاونس ڈسٹرکٹ میونسپلٹی,کاؤناس شہر کی میونسپلٹی <OR> کاؤناس
مالاوی,لیلونگوی
وسطی افریقی جمہوریہ,بانگی
مسقط گورنریٹ,سیب
والورتھ کاؤنٹی,ایلکھورن <OR> ایلکھورن، وسکونسن
جنوبی سینڈوچ جزائر,کنگ ایڈورڈ پوائنٹ
ایوبیا,چالکیڈا <OR> چالکیس <OR> چالکیس <OR> چالکیڈیائی <OR> ہالکیڈا
سنهالا,کولمبو
برودی رائیون,برودی
سینٹ کیتھرین,ہسپانوی شہر
والنسیا کاؤنٹی، نیو میکسیکو,لوس لوناس
پوشکھونسکی ضلع,پوشخونی
گریس کا ضلع,گریس
اولسنج میونسپلٹی,اولچن <OR> اولسنج میونسپلٹی
ہیگفورس میونسپلٹی,ہیگفورس
البی,لیگاسپی سٹی <OR> لیگازپی شہر
شمالی ضلع (اسرائیل),ناصرت
چونی کا کینٹون,چونی
کیونگا ضلع,کیونگا
کلیبرن کاؤنٹی، آرکنساس,ہیبر اسپرنگز <OR> ہیبر اسپرنگز، آرکنساس
ہینکاک کاؤنٹی، اوہائیو,فنڈلے، اوہائیو <OR> فنڈلے
گرینویچ بورو,وولویچ
لونا کاؤنٹی,ڈیمنگ، این ایم <OR> ڈیمنگ <OR> ڈیمنگ، نیو میکسیکو
امور خطہ,بلگوشچنسک
لو ہاؤٹ-سینٹ-فرانسوا ریجنل کاؤنٹی میونسپلٹی,ککشر-ایٹن
سسیلیائی,پالermo
گیفہورن (ضلع),گیفہورن
بغداد صوبہ,بغداد
یوکان,وائٹ ہورس، یوکان۔ <OR> وائٹ ہارس
تلنگانہ,حیدرآباد، تلنگانہ <OR> حیدرآباد شہر <OR> حیدرآباد <OR> حیدرآباد، بھارت
سکسیو کاؤنٹی,یرکا
کالییکس میونسپلٹی,کالییکس
وپیلو کاؤنٹی، آئیووا,اوٹموا
اوزگن ضلع,اوزگن
ڈنڈگوبی صوبہ,سینٹ ساگان <OR> مندلگوبی
سینٹ جوزف کاؤنٹی,سینٹرویل <OR> سینٹر ویل، مشی گن
ایولینو کا صوبہ,اویلیونو
کوی کاؤنٹی,ٹوکمکاری
اوڈیسا علاقہ,اوڈیسا
گوا,پنجی <OR> پناجی <OR> پنگیم
فریزر کوسٹ ریجن,ہر وی بے <OR> ہروی بے، کوئینزلینڈ۔
چودنیو ریون,چودنیو
قم صوبہ,قم
لیک کاؤنٹی، کیلیفورنیا,لیک پورٹ
گمینا بوبووا,بوبووا
جونز کاؤنٹی,اناموسا، آئیووا <OR> اناموسا
سینٹ لوشیا,کاسٹریز
سانتو ڈومنگو کینٹن (ایکواڈور),سانتو ڈومنگو ڈی لوس کلورادوس
کارور کاؤنٹی، مینیسوٹا,چسکا
آئگا-آئی-لے-تائی,ملیفانوا
چیشائر ویسٹ اور چیستر,چیسٹر
ایڈورڈز کاؤنٹی، الینوائے,ایلبیئن <OR> ایلبیون، الینوائے
بروک کاؤنٹی، ویسٹ ورجینیا,ویلزبرگ
یاکیما کاؤنٹی,یاکیما <OR> یاکیما، WA
لیزنو کاؤنٹی,لیسنو
روس,روسچوک <OR> رشچوک
گار فیلڈ کاؤنٹی، اوکلاہوما,اینڈ، اوکلاہوما <OR> اینڈ، اوکلاہوما <OR> اینیڈ
نانا-ممبرے,بوار
گوتھنبرگ میونسپلٹی,گوتھنبرگ شہری علاقہ <OR> Göteborg <OR> گوتھنبرگ
موریہ,پتالیپutra
فورفارشائر,فورفار
بریکسٹن کاؤنٹی,سٹن، ویسٹ ورجینیا <OR> سٹن
وو (ریاست),گوسو
گمینا ووینچ,ووجنیچ
وائمار جمہوریہ,برلن <OR> برلن، جرمنی
پوربندر ضلع,پوربندر
کاسائی-اوکسیڈینٹل,لولوابورگ <OR> کاننگا
گرینڈ ٹراورس کاؤنٹی,ٹراورس سٹی، ایم آئی <OR> ٹراورس سٹی
سیلون,کوٹے <OR> کولمبو
مٹزیکاما,ویریڈنڈل
فرانسیسی استوائی افریقہ,برازاویل
لداخ,لے۔
کینٹون آف کومینٹری,تبصرہ
پراچاتیس ضلع,پراچاتیس
حس بیہ ضلع,حسبیا
ایڈمز کاؤنٹی، الینوائے,کونسی <OR> کونسی، الینوائے
کینٹون آف پونٹ-اودیمر,پونٹ-اوڈیمر
مشرقی چالوکیا,وینگی
کونوتوپ ریون,کونوتوپ
ازمائل اوبلاست,ازمائل
شدید,دوین
چانگنگ صوبہ,کانگگے
التائے,بارنول <OR> گورنو-الٹائیسک
فرینکلن پیریش,وِنزبرُو
سررو گورڈو کاؤنٹی,میسن سٹی
فرانسیسی دوسرا سلطنت,پیرس
پرپینیان 8 واں کینٹن,پرپینیان
دوکhovshchinsky ضلع,دوخوفشچینا
نیمہا کاؤنٹی، کنساس,سینیکا <OR> سینیکا، کانساس
رومی کیتھولک ڈائیوسیس آف ساتو مارے,سٹو مارے
مورنگ,انٹیپولو شہر <OR> انٹیپولو
حلب,حلب شہر <OR> حلب
ویسٹمیٹھ,ملنگر
سول پلاٹجے لوکل میونسپلٹی,کمبرلی <OR> کیمبرلی، جنوبی افریقہ۔
کینٹون آف ایئر-سر-لا-لیس,ایر-سر-لا-لیس
انڈین ریور کاؤنٹی,ویرو بیچ <OR> ویرو بیچ، فلوریڈا
کینٹون آف ٹروئس-6,ٹروآیس
راشتراکوتا سلطنت,منیاخیٹا
زینسکی ضلع,زینسک
صربیا اور مونٹی نیگرو,بیلگریڈ
اوماہیکے ریجن,گوبابیس
کگایان صوبہ,تگےگراو شہر
اندرونی منگولیا خود مختار علاقہ,ہوہوت <OR> ہوہوت
ترکمانستان,اشک آباد <OR> اشک آباد <OR> اشک آباد <OR> عشق آباد <OR> اشک آباد <OR> اشک آباد
تویئر اوبلاست,تورویہ <OR> کالینن
ایڈنبرا سٹی کونسل,ایڈنبرا
ڈونیٹسک–کریوئی روگ سوویت جمہوریہ,خارکیف <OR> خارکوف <OR> لوہانسک
مومچلگراد میونسپلٹی,مومچلگراد
سررو گورڈو کاؤنٹی، آئیووا,میسن سٹی
برازوریا کاؤنٹی,اینجلٹن، ٹیکساس <OR> اینگلٹن
پگروئیونگ,سوماترا
آذربائیجان سوویت سوشلسٹ ریپبلک,باکو
شاندونگ صوبہ,جنن <OR> جیانان
فلوریڈا صوبہ,سماپاٹا
فری بورن کاؤنٹی,البرٹ لیا، MN <OR> البرٹ لیا
اسپارٹا صوبہ,اسپارٹا
لینکن کاؤنٹی، اوریگون,نیوپورٹ، او آر <OR> نیوپورٹ
جینیسی کاؤنٹی، مشی گن,فلنٹ، مشی گن <OR> فلیٹ
کتوی علاقہ,مپنڈا
ہرناندو کاؤنٹی,بروکسویل <OR> بروکسویل، فلوریڈا
مغربی پومیرینیا وویوڈشپ,اسٹیٹین <OR> اسٹیٹین (سزیکن) <OR> شچچین
اردینو میونسپلٹی,آردینو
ہوریفانو کاؤنٹی، کولوراڈو,والسنبرگ <OR> والسنبورگ، کولوراڈو
ریجن ٹسکانیہ,فلورنس
گمنہ مرسک,میرسک
سان ڈیاگو کاؤنٹی، کیلیفورنیا,سان ڈیاگو
اودومسائی صوبہ,مؤنگ زے
ٹولینڈ کاؤنٹی، کنیکٹیکٹ,ٹولینڈ
ڈوبرپلیہ ریجن,ڈوبرپلیہ
براگا ضلع,براگا
وائٹ کاؤنٹی، الینوائے,کارمی
جرمنی,برلن <OR> برلن، جرمنی
ضلع باوتزن,باوٹزن
فلیمنگ برابانت,لوون <OR> لووین
اجڈومانی ضلع,اجدومانی
انگلو-مصر کا سوڈان,خرطوم
ٹالبوٹ کاؤنٹی، میری لینڈ,ایسٹن، میری لینڈ <OR> ایسٹن
غفوروف ضلع,غفوروف
ساکسونیا,ڈریسڈن
قاسویٹسپ,جیکب شاون <OR> ایلو لیساتی
طرابزون صوبہ,ٹرابزون
کورتیس محکمہ,سان پیڈرو سولا
قدیم آشوری,آشور <OR> عاشور
کیل ہیم (ضلع),کیل ہیم
پیکارڈی,سینٹ-اچول <OR> ایمیئن
یالتا میونسپلٹی,یالٹا
یوجیاکارتا سلطنت,نگیوجوکارتا <OR> یوگیاکارتا
کاؤنٹی آرمگھ,آرما شہر <OR> آرماگھ
ڈچ,ڈین ہاگ <OR> دی ہیگ <OR> ایمسٹرڈیم
لیفیو oblast,لیمبرگ <OR> لیووو
سولیڈاریڈاد میونسپلٹی,پلا یا ڈیل کارمین
کوپریوینیکا-کریژیوو County,کوپریوینیکا
رومی کیتھولک ڈائیوسیس آف سزیگڈ–چساناد,سزیگڈ
بکاہن کاؤنٹی، آئیووا,آزادی <OR> انڈیپینڈنس، آئیووا۔
وادی آرن,ویلا
بالاسور ضلع,بیلیشور <OR> بالاسور
برود-پوساوینا کاؤنٹی,سلاوونسکی برود
سیرڈوبسکی ضلع,سیرڈوبسک
کروکوم میونسپلٹی,کروکوم
اوپر سالم,بیڈونویلر
لوتسک ریجن,لوتسک
مہاراشٹرین,ممبئی
سیرمیا ضلع,سریمسکا میترووِکا
بیکانیر ضلع,گنگاشہر <OR> بیکانیر
کوازولو,نونگومہ
انز.,پفورزہیم
کاشیرسکی ضلع,کاشیرا
کالیمنتان تیمور,سمرندا
مصر,القاہرہ <OR> قاہرہ <OR> عباسیہ <OR> الظاہر <OR> عب دین
کوی کاؤنٹی، نیو میکسیکو,ٹوکمکاری
الماتی خطہ,تالدی-کورگان <OR> تالدیقورگان
اورنبرگ اوبلاست,اورنبرگ
شوانو کاؤنٹی، وسکونسن,شوانو، وسکونسن <OR> شوانو
گپتا,پتالیپutra
برچٹسگادنر لینڈ کا ضلع,بد رائخن ہال
وہمبے,تھوہوینڈو
دہلی,نئی دہلی
نیوکاسل,نیو کیسل، نیو ساؤتھ ویلز، آسٹریلیا <OR> نیوکاسل، آسٹریلیا <OR> نیوکاسل، نیو ساؤتھ ویلز۔ <OR> نیوکاسل <OR> براڈمیڈو ریس کورس
فلائیڈ کاؤنٹی، ٹیکساس,فلائیڈاڈا
کیمپو باسو کا صوبہ,کیمپو باسو
اوبوک خطہ,اوبوک
لوریتو صوبہ,ناٹا
پولینیشیا فرانسیسی,پیپیٹی
جاز-ناگکون-سزلنوک کاؤنٹی,سزولنک
کولبرٹ کاؤنٹی، الاباما,ٹسکمبیا
پاتگونس پارٹیڈو,کارمین ڈی پیٹاگونیس
رائٹ کاؤنٹی، میزوری,ہارٹویل، میزوری <OR> ہارٹویل
مونو ڈیپارٹمنٹ,لوکوسا
قصائی,کاننگا
بترون ضلع,بترون
مرکوسور,مونٹی ویڈیو
وِنڈسر کاؤنٹی، ورمونٹ,جنوبی ووڈسٹاک
انڈونیشیائی حکومت,جکارتہ
والتھال کاؤنٹی، مسیسیپی,ٹائلر ٹاؤن
پنگاسینان,لنگائین <OR> لنگائین، پنگاسینان۔
قزوین صوبہ,قزوین
بڑا سیلہٹ,سلہٹ
کچن ریاست,میئٹکیینا
ڈینز,کاپن ہیگن
یونلین,ڈولیو
اومسک صوبہ,اومسک
اپایاو,کابوگاؤ
عبداسا تحصیل,نالیہ
ایالت میکسیکو,ٹولکا
میتراکا سلطنت,واللبھی
سانتا کروز کاؤنٹی، کیلیفورنیا,سانتا کروز، کیلیفورنیا <OR> سانتا کروز
کزیلسو قرغیز خودمختار پریفیکچر,آرٹکس
اسکاٹ لینڈ,نیا شہر <OR> ڈن ایڈن <OR> اولڈ ریکی <OR> ایڈنبرا سٹی کونسل <OR> ایڈنبرا <OR> دن عیدین
لاس پالماس کا صوبہ,لاس پالماس
ریموسکی-نیجیٹ,ریموسکی
اوٹاوا کاؤنٹی، اوکلاہوما,میامی، اوکلاہوما <OR> میامی <OR> میامی، اوکلاہوما
کینٹون آف روئے,روئے
فورموسا کی جمہوریہ,تائی نان
موگالے سٹی لوکل میونسپلٹی,کرگرسڈورپ
دھوکہ گورنریٹ,دھوکہ
انڈوچائن,ہنوئی <OR> ہنوئی
سنگھاسری,ملنگ
ویلنیوس,ویلنو <OR> ویلنیا
انتہائی شمالی علاقہ,ماروا
مملکت یروشلم,یروشلم
اسکولکرافٹ کاؤنٹی,مانی اسٹیک
دربنٹسکی ضلع,دربند
مشرقی رومی سلطنت (بازنطینی سلطنت),استنبول
میوکلمبرگ,شورین
لو لینڈ میونسپلٹی,ماربو
